Vanessa atalanta	WHOLE ORGANISM	ERR6363249	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/009/ERR6363249/ERR6363249_1.fastq.gz
Pieris rapae	WHOLE ORGANISM	ERR6286709	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/009/ERR6286709/ERR6286709_1.fastq.gz
Maniola jurtina	WHOLE ORGANISM	ERR6054523	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/003/ERR6054523/ERR6054523_1.fastq.gz
Pararge aegeria	WHOLE ORGANISM	ERR6363260	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/000/ERR6363260/ERR6363260_1.fastq.gz
Vanessa cardui	WHOLE ORGANISM	ERR6054374	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR605/004/ERR6054374/ERR6054374_1.fastq.gz
Biston betularia	WHOLE ORGANISM	ERR10123640	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/040/ERR10123640/ERR10123640_1.fastq.gz
Limenitis camilla	WHOLE ORGANISM	ERR6286705	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/005/ERR6286705/ERR6286705_1.fastq.gz
Nymphalis urticae	WHOLE ORGANISM	ERR6286701	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/001/ERR6286701/ERR6286701_1.fastq.gz
