Hylaea_fasciaria_ShxA	ShxA
Hylaea_fasciaria_ShxB	ShxB
Hylaea_fasciaria_ShxC	ShxC
Hylaea_fasciaria_ShxD	ShxD
Hylaea_fasciaria_Ubx	Ubx
Hylaea_fasciaria_abd-A	abd-A
Hylaea_fasciaria_ftz	ftz
Hylaea_fasciaria_lab	lab
Hylaea_fasciaria_zen	zen
Limenitis_camilla_Abd-B	Abd-B
Limenitis_camilla_Antp	Antp
Limenitis_camilla_Dfd	Dfd
Limenitis_camilla_Scr	Scr
Limenitis_camilla_ShxA	ShxA
Limenitis_camilla_ShxB	ShxB
Limenitis_camilla_ShxC	ShxC
Limenitis_camilla_ShxD	ShxD
Limenitis_camilla_Ubx	Ubx
Limenitis_camilla_abd-A	abd-A
Limenitis_camilla_ftz	ftz
Limenitis_camilla_lab	lab
Limenitis_camilla_zen	zen
Xestia_xanthographa_Abd-B	Abd-B
Xestia_xanthographa_Antp	Antp
Xestia_xanthographa_Dfd	Dfd
Xestia_xanthographa_Scr	Scr
Xestia_xanthographa_ShxA	ShxA
Xestia_xanthographa_ShxB	ShxB
Xestia_xanthographa_ShxC	ShxC
Xestia_xanthographa_ShxD	ShxD
Xestia_xanthographa_Ubx	Ubx
Xestia_xanthographa_abd-A	abd-A
Xestia_xanthographa_ftz	ftz
Xestia_xanthographa_lab	lab
Xestia_xanthographa_zen	zen
Phlogophora_meticulosa_Abd-B	Abd-B
Phlogophora_meticulosa_Antp	Antp
Phlogophora_meticulosa_Dfd	Dfd
Phlogophora_meticulosa_Pb	Pb
Phlogophora_meticulosa_Scr	Scr
Phlogophora_meticulosa_ShxA	ShxA
Phlogophora_meticulosa_ShxB	ShxB
Phlogophora_meticulosa_ShxC	ShxC
Phlogophora_meticulosa_ShxD	ShxD
Phlogophora_meticulosa_Ubx	Ubx
Phlogophora_meticulosa_abd-A	abd-A
Phlogophora_meticulosa_ftz	ftz
Phlogophora_meticulosa_lab	lab
Phlogophora_meticulosa_zen	zen
Thyatira_batis_Abd-B	Abd-B
Thyatira_batis_Antp	Antp
Thyatira_batis_Dfd	Dfd
Thyatira_batis_Pb	Pb
Thyatira_batis_Scr	Scr
Thyatira_batis_ShxA	ShxA
Thyatira_batis_ShxB	ShxB
Thyatira_batis_ShxC	ShxC
Thyatira_batis_ShxD	ShxD
Thyatira_batis_Ubx	Ubx
Thyatira_batis_abd-A	abd-A
Thyatira_batis_ftz	ftz
Thyatira_batis_lab	lab
Thyatira_batis_zen	zen
Pieris_rapae_Abd-B	Abd-B
Pieris_rapae_Antp	Antp
Pieris_rapae_Dfd	Dfd
Pieris_rapae_Scr	Scr
Pieris_rapae_ShxA	ShxA
Pieris_rapae_ShxB	ShxB
Pieris_rapae_ShxC	ShxC
Pieris_rapae_ShxD	ShxD
Pieris_rapae_Ubx	Ubx
Pieris_rapae_abd-A	abd-A
Pieris_rapae_ftz	ftz
Pieris_rapae_lab	lab
Pieris_rapae_zen	zen
Phalera_bucephala_Abd-B	Abd-B
Phalera_bucephala_Antp	Antp
Phalera_bucephala_Dfd	Dfd
Phalera_bucephala_Pb	Pb
Phalera_bucephala_Scr	Scr
Phalera_bucephala_ShxA	ShxA
Phalera_bucephala_ShxB	ShxB
Phalera_bucephala_ShxC	ShxC
Phalera_bucephala_ShxC1	ShxC
Phalera_bucephala_ShxC2	ShxC
Phalera_bucephala_ShxC3	ShxC
Phalera_bucephala_ShxC4	ShxC
Phalera_bucephala_ShxC5	ShxC
Phalera_bucephala_ShxC6	ShxC
Phalera_bucephala_ShxC7	ShxC
Phalera_bucephala_ShxC8	ShxC
Phalera_bucephala_ShxD	ShxD
Phalera_bucephala_ShxD1	ShxD
Phalera_bucephala_ShxD2	ShxD
Phalera_bucephala_ShxD3	ShxD
Phalera_bucephala_ShxD4	ShxD
Phalera_bucephala_ShxD5	ShxD
Phalera_bucephala_ShxD6	ShxD
Phalera_bucephala_ShxD7	ShxD
Phalera_bucephala_ShxD8	ShxD
Phalera_bucephala_ShxD9	ShxD
Phalera_bucephala_ShxD10	ShxD
Phalera_bucephala_Ubx	Ubx
Phalera_bucephala_abd-A	abd-A
Phalera_bucephala_ftz	ftz
Phalera_bucephala_lab	lab
Phalera_bucephala_zen	zen
Noctua_fimbriata_Abd-B	Abd-B
Noctua_fimbriata_Antp	Antp
Noctua_fimbriata_Dfd	Dfd
Noctua_fimbriata_Scr	Scr
Noctua_fimbriata_ShxA	ShxA
Noctua_fimbriata_ShxA2	ShxA
Noctua_fimbriata_ShxA3	ShxA
Noctua_fimbriata_ShxA4	ShxA
Noctua_fimbriata_ShxA5	ShxA
Noctua_fimbriata_ShxA6	ShxA
Noctua_fimbriata_ShxA7	ShxA
