Pararge_aegeria	NK	Hmx	NA	0	not_sign
Pararge_aegeria	NK	NK4	TRINITY_DN11143_c0_g1	4.69123	sign
Pararge_aegeria	HOX	ShxB	TRINITY_DN8780_c0_g1	6.29379	sign
Pararge_aegeria	NK	NK3	NA	0	not_sign
Pararge_aegeria	NK	En	NA	0	not_sign
Pararge_aegeria	NK	Emx	TRINITY_DN11876_c0_g1	3.02329	not_sign
Pararge_aegeria	TALE	Mkx	TRINITY_DN13952_c0_g2	1.93878	not_sign
Pararge_aegeria	PRD	Prrx	NA	0	not_sign
Pararge_aegeria	PRD	Pax2/5/8	NA	0	not_sign
Pararge_aegeria	POU	Pou3	TRINITY_DN6220_c0_g1	0.73715	not_sign
Pararge_aegeria	PRD	Pax4/6	NA	0	not_sign
Pararge_aegeria	CUT	Cmp	TRINITY_DN12328_c0_g1	1.76599	not_sign
Pararge_aegeria	CUT	Onecut	NA	0	not_sign
Pararge_aegeria	PRD	Phox	NA	0	not_sign
Pieris_rapae	PRD	Repo	TRINITY_DN21178_c0_g1	1.95526	not_sign
Pieris_rapae	HOX	eve	TRINITY_DN13217_c0_g2	1.83875	not_sign
Pieris_rapae	TALE	Pbx	TRINITY_DN3531_c0_g1	39.4682	sign
Pieris_rapae	PRD	Otp	TRINITY_DN17651_c0_g1	2.79579	not_sign
Pieris_rapae	HOX	ShxD	TRINITY_DN27045_c0_g1	2.18928	not_sign
Pieris_rapae	HOX	abd-A	TRINITY_DN3592_c0_g1	14.7754	sign
Pieris_rapae	SINE	Six1/2	TRINITY_DN3404_c0_g1	5.8107	sign
Pieris_rapae	NK	Noto	NA	0	not_sign
Pieris_rapae	TALE	Irx	NA	0	not_sign
Pieris_rapae	LIM	Lhx6/8	NA	0	not_sign
Pieris_rapae	NK	NK7	TRINITY_DN6044_c0_g1	2.52369	not_sign
Pieris_rapae	HOX	Ftz	NA	0	not_sign
Pieris_rapae	HOX	ShxC	TRINITY_DN808_c0_g1	73.9891	sign
Pieris_rapae	NK	Hhex	NA	0	not_sign
Pieris_rapae	NK	NK3	NA	0	not_sign
Pieris_rapae	CUT	Cux	TRINITY_DN22746_c0_g1	3.83454	sign
Pieris_rapae	PRD	Pax3/7	TRINITY_DN14741_c0_g1	5.39342	sign
Pieris_rapae	NK	NK1	NA	0	not_sign
Pieris_rapae	ZF	Zfhx	NA	0	not_sign
Pieris_rapae	NK	Hmx	NA	0	not_sign
Pieris_rapae	TALE	Tgif	TRINITY_DN290_c0_g1	6.82694	sign
Pieris_rapae	HOX	Dfd	NA	0	not_sign
Pieris_rapae	PRD	Pitx	NA	0	not_sign
Pieris_rapae	LIM	Isl	TRINITY_DN13524_c0_g2	1.69456	not_sign
Pieris_rapae	PROS	Prox	NA	0	not_sign
Pieris_rapae	NK	Lbx	NA	0	not_sign
Pieris_rapae	HOX	Abd-B	TRINITY_DN3681_c0_g1	10.7317	sign
Pieris_rapae	NK	Dbx	NA	0	not_sign
Pieris_rapae	NK	En	TRINITY_DN24774_c0_g1	1.31952	not_sign
Pieris_rapae	LIM	Lhx1/5	TRINITY_DN5985_c0_g1	3.72797	sign
Pieris_rapae	HOX	Ubx	NA	0	not_sign
Pieris_rapae	PRD	Shox	NA	0	not_sign
Pieris_rapae	SINE	Six4/5	TRINITY_DN14532_c0_g1	0.927739	not_sign
Pieris_rapae	NK	Emx	NA	0	not_sign
Pieris_rapae	SINE	Six3/6	NA	0	not_sign
Pieris_rapae	NK	Tlx	NA	0	not_sign
Pieris_rapae	NK	Hlx	NA	0	not_sign
Pieris_rapae	NK	NK2.1	NA	0	not_sign
