Species	Intergenic_dist
BlaAdus	8886
BlaAdus	219
BlaAdus	4248
BlaAdus	7271
BlaAdus	11356
BlaAdus	11357
BlaAdus	11350
BlaAdus	5821
BlaAdus	7186
BlaAdus	6821
BlaAdus	9598
BlaAdus	16040
BlaAdus	4286
BlaAdus	7958
BlaAdus	6550
BlaAdus	9770
BlaAdus	4216
BlaAdus	3718
BlaAdus	3350
BlaAdus	8120
BlaAdus	108392
BlaAdus	215185
PapMach	210059
PapMach	181653
PapMach	222754
PapMach	61700
PapMach	54319
PapMach	51336
PapMach	51606
PapMach	1751
PapMach	1954
PapMach	2727
PapMach	2756
PapMach	69323
PapMach	93323
PyrMalv	371437
PyrMalv	410280
PyrMalv	465288
PyrMalv	133508
PyrMalv	99826
PyrMalv	90604
PyrMalv	137191
PyrMalv	2042
PyrMalv	2885
PyrMalv	2622
PyrMalv	6069
PyrMalv	175793
PyrMalv	264587
EryTage	240716
EryTage	240258
EryTage	293767
EryTage	73755
EryTage	59434
EryTage	58403
EryTage	68401
EryTage	1561
EryTage	2388
EryTage	2234
EryTage	2983
EryTage	88356
EryTage	145395
ThySylv	301361
ThySylv	291470
ThySylv	373837
ThySylv	92079
ThySylv	76471
ThySylv	67731
ThySylv	111916
ThySylv	1728
ThySylv	1909
ThySylv	2454
ThySylv	5281
ThySylv	118459
ThySylv	196276
HesComm	337417
HesComm	320549
HesComm	370662
HesComm	99091
HesComm	86241
HesComm	84644
HesComm	121110
HesComm	1970
HesComm	2711
HesComm	2989
HesComm	4551
HesComm	131121
HesComm	218515
OchSylv	287037
OchSylv	266246
OchSylv	337916
OchSylv	88422
OchSylv	66402
OchSylv	66099
OchSylv	84581
OchSylv	1956
OchSylv	3180
OchSylv	2696
OchSylv	4547
OchSylv	99244
OchSylv	156061
LepSina	357112
LepSina	306336
LepSina	381080
LepSina	123187
LepSina	94106
LepSina	100855
LepSina	134544
LepSina	3589
LepSina	9916
LepSina	1967
LepSina	6491
LepSina	200852
LepSina	259051
ColCroc	195051
ColCroc	187100
ColCroc	235743
ColCroc	68603
ColCroc	51827
ColCroc	45323
ColCroc	79280
ColCroc	8486
ColCroc	2953
ColCroc	2154
ColCroc	3171
ColCroc	3351
ColCroc	73223
ColCroc	155264
AntCard	230115
AntCard	216131
AntCard	261801
AntCard	81570
AntCard	53540
AntCard	62101
AntCard	71278
AntCard	1958
AntCard	3547
AntCard	1744
AntCard	19955
AntCard	108421
AntCard	140716
ApoCrat	334851
ApoCrat	190963
ApoCrat	182540
ApoCrat	227441
ApoCrat	66637
ApoCrat	55719
ApoCrat	49891
ApoCrat	61631
ApoCrat	5857
ApoCrat	287
ApoCrat	237
ApoCrat	288
ApoCrat	8528
ApoCrat	3313
ApoCrat	3070
ApoCrat	81469
PieRapa	371652
PieRapa	179297
PieRapa	169751
PieRapa	223960
PieRapa	63339
PieRapa	47690
PieRapa	65462
PieRapa	75354
PieRapa	1799
PieRapa	4049
PieRapa	1925
PieRapa	4564
PieRapa	85038
PieBras	384348
PieBras	179679
PieBras	164173
PieBras	217802
PieBras	62051
PieBras	44830
PieBras	50088
PieBras	66450
PieBras	1463
PieBras	2937
PieBras	1600
PieBras	3911
PieBras	84589
PieNapi	408225
PieNapi	196986
